epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1515.41,0.93335,0.83109,1.24237,0.62655,0.65404,0.66665,0.46082,1.04625,0.77287,1.37464,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857,0.0176957,0.00589857
31,1761,0.92756,0.81782,1.23669,0.64899,0.67736,0.6832,0.47143,1.03327,0.75737,1.36472,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714,0.0172714,0.00575714
32,257.343,0.88283,0.75713,1.21037,0.6322,0.67577,0.68484,0.47108,1.03841,0.75015,1.36611,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571,0.0168471,0.00561571
33,493.849,0.87799,0.74772,1.20274,0.64932,0.6615,0.68408,0.46795,1.04681,0.76605,1.36783,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429,0.0164229,0.00547429
34,730.038,0.86251,0.72438,1.19828,0.61305,0.66006,0.67874,0.47211,1.02975,0.74812,1.36097,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286,0.0159986,0.00533286
35,976.472,0.85932,0.71945,1.19302,0.64518,0.68283,0.68297,0.47161,1.03325,0.75705,1.3606,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143,0.0155743,0.00519143
36,1217.62,0.85937,0.7215,1.19116,0.66702,0.6658,0.68628,0.47943,1.03161,0.73371,1.35831,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
37,1460.54,0.8462,0.70064,1.18369,0.64306,0.6651,0.68391,0.47774,1.02902,0.74572,1.35627,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857,0.0147257,0.00490857
38,1701.19,0.84027,0.69649,1.1793,0.65671,0.67965,0.6784,0.47068,1.02538,0.7452,1.34572,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714,0.0143014,0.00476714
39,1942.67,0.87832,0.74479,1.20074,0.64799,0.68989,0.68904,0.47459,1.02659,0.74087,1.35001,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571,0.0138771,0.00462571
40,2183.51,0.87687,0.73942,1.20158,0.63093,0.68554,0.67831,0.4759,1.01383,0.74413,1.34153,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429,0.0134529,0.00448429
41,2420.73,0.87067,0.72905,1.19968,0.67426,0.67915,0.69068,0.47944,1.01493,0.7289,1.33964,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286,0.0130286,0.00434286
42,2660.94,0.86023,0.71219,1.18904,0.64864,0.67368,0.68224,0.47631,1.01665,0.73534,1.34361,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143,0.0126043,0.00420143
43,2897.53,0.85274,0.70404,1.18912,0.62592,0.70695,0.69021,0.48402,1.01174,0.71753,1.33271,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
44,3132.27,0.84115,0.69751,1.17886,0.62787,0.67936,0.67882,0.47941,1.00469,0.7331,1.33465,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857,0.0117557,0.00391857
45,3367.67,0.83346,0.6872,1.1766,0.65524,0.67345,0.69035,0.48487,1.00807,0.71578,1.3335,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714,0.0113314,0.00377714
46,3603.73,0.83088,0.6719,1.17211,0.65276,0.65794,0.67453,0.47884,1.00751,0.72634,1.33754,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571,0.0109071,0.00363571
47,3840.01,0.81485,0.66038,1.16389,0.65405,0.68136,0.68769,0.48254,1.01353,0.70893,1.33749,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429,0.0104829,0.00349429
48,4077.26,0.80703,0.64943,1.15833,0.65438,0.68484,0.68901,0.48454,1.0157,0.71861,1.33972,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286,0.0100586,0.00335286
49,4313.48,0.80389,0.64086,1.15579,0.66097,0.65592,0.67479,0.47923,1.01222,0.73411,1.33743,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143,0.00963429,0.00321143
50,4550.05,0.8004,0.63583,1.14962,0.70126,0.64393,0.67959,0.48045,1.00848,0.71889,1.33865,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
51,4784.96,0.79628,0.62279,1.15119,0.65306,0.68276,0.67989,0.48173,1.01423,0.71997,1.34032,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857,0.00878571,0.00292857
52,5022.47,0.78633,0.62037,1.14625,0.661,0.67932,0.686,0.48272,1.01274,0.70747,1.34223,0.00836143,0.00278714,0.00836143,0.00278714,0.00836143,0.00278714,0.00836143,0.00278714
53,5262.12,0.77508,0.60823,1.13895,0.63545,0.68508,0.68144,0.48539,1.0059,0.7147,1.33719,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571,0.00793714,0.00264571
54,5502.56,0.76364,0.59377,1.1339,0.6594,0.67214,0.68735,0.48284,1.01482,0.72253,1.34811,0.00751286,0.00250429,0.00751286,0.00250429,0.00751286,0.00250429,0.00751286,0.00250429
55,241.795,0.73299,0.55746,1.11476,0.66544,0.66731,0.67729,0.4817,1.01462,0.7295,1.34542,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286,0.00708857,0.00236286
56,480.724,0.73216,0.55181,1.10985,0.66722,0.6656,0.68114,0.48336,1.00597,0.72833,1.33652,0.00666429,0.00222143,0.00666429,0.00222143,0.00666429,0.00222143,0.00666429,0.00222143
57,718.858,0.71997,0.54384,1.10847,0.67252,0.67227,0.68466,0.48398,1.00973,0.723,1.34379,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
58,955.627,0.71498,0.53579,1.10224,0.66701,0.66869,0.68322,0.48324,1.01104,0.72913,1.34684,0.00581571,0.00193857,0.00581571,0.00193857,0.00581571,0.00193857,0.00581571,0.00193857
59,1191.81,0.71488,0.53909,1.10204,0.64972,0.67757,0.68315,0.48405,1.01173,0.72193,1.34902,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714,0.00539143,0.00179714
60,1431.14,0.70396,0.52048,1.09395,0.66487,0.67148,0.68492,0.48465,1.01279,0.72289,1.35143,0.00496714,0.00165571,0.00496714,0.00165571,0.00496714,0.00165571,0.00496714,0.00165571
61,1666.48,0.6662,0.42762,1.08552,0.65331,0.68361,0.68107,0.48232,1.00902,0.71963,1.34795,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429,0.00454286,0.00151429
62,1896.69,0.64754,0.40817,1.06524,0.65942,0.68823,0.68247,0.48129,1.00934,0.72135,1.34801,0.00411857,0.00137286,0.00411857,0.00137286,0.00411857,0.00137286,0.00411857,0.00137286
63,2127.86,0.6384,0.39623,1.06397,0.65465,0.68238,0.68129,0.48184,1.00895,0.72494,1.34779,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143,0.00369429,0.00123143
64,264.169,0.6447,0.4712,1.06483,0.65807,0.68931,0.68209,0.48271,1.01333,0.72963,1.35655,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
65,505.803,0.6358,0.45744,1.05795,0.68949,0.64919,0.67993,0.48383,1.01471,0.73288,1.36313,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571,0.00284571,0.000948571
66,745.939,0.62262,0.44805,1.05427,0.66085,0.67807,0.68009,0.48312,1.02231,0.73584,1.37243,0.00242143,0.000807143,0.00242143,0.000807143,0.00242143,0.000807143,0.00242143,0.000807143
67,984.291,0.61853,0.44347,1.05037,0.65853,0.67555,0.67745,0.48161,1.02309,0.73347,1.37345,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714,0.00199714,0.000665714
68,1223.56,0.61917,0.44459,1.05036,0.66272,0.66876,0.67874,0.48195,1.02317,0.73493,1.37718,0.00157286,0.000524286,0.00157286,0.000524286,0.00157286,0.000524286,0.00157286,0.000524286
69,1463.44,0.61111,0.43414,1.04602,0.65889,0.66933,0.67749,0.48165,1.02424,0.73831,1.38046,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857,0.00114857,0.000382857
70,1704.44,0.66198,0.47492,1.07035,0.68182,0.65571,0.67679,0.48108,1.02425,0.73612,1.37995,0.000724286,0.000241429,0.000724286,0.000241429,0.000724286,0.000241429,0.000724286,0.000241429
